"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 16 09:52:59 GMT 2023","Tue May 16 09:53:11 GMT 2023","12641","","org.example.BootstrapDownloadTest","","org.example.BootstrapDownloadTest","downloadProgressTest","downloadProgressTest()",""
"passed","Tue May 16 09:53:11 GMT 2023","Tue May 16 09:53:14 GMT 2023","2734","","org.example.PaginationTest","","org.example.PaginationTest","getNumberTest","getNumberTest()",""
"passed","Tue May 16 09:52:52 GMT 2023","Tue May 16 09:52:58 GMT 2023","6082","","org.example.DataListFilterPageTest","","org.example.DataListFilterPageTest","testGetNames","testGetNames()",""
