"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 18:41:15 GMT 2023","Tue Apr 18 18:41:20 GMT 2023","4832","","org.example.PaginationTest","","org.example.PaginationTest","getNumberTest","getNumberTest()",""
"broken","Tue Apr 18 18:41:22 GMT 2023","Tue Apr 18 18:41:35 GMT 2023","12708","","org.example.BootstrapDownloadTest","","org.example.BootstrapDownloadTest","downloadProgressTest","downloadProgressTest()",""
"passed","Tue Apr 18 18:41:20 GMT 2023","Tue Apr 18 18:41:22 GMT 2023","2348","","org.example.DataListFilterPageTest","","org.example.DataListFilterPageTest","testGetNames","testGetNames()",""
